time(s),joint1(rad),joint2(rad),joint3(rad),joint4(rad),joint5(rad),joint6(rad)
7.68762000,-0.94525300,-0.49940500,1.11593000,-1.51211000,0.62450000,-0.75415400
7.73099000,-0.94525300,-0.49940500,1.11593000,-1.51211000,0.62450000,-0.75415400
7.76099000,-0.94525400,-0.49951900,1.11581000,-1.51251000,0.62450300,-0.75377300
7.80722000,-0.94525400,-0.49957600,1.11575000,-1.51272000,0.62450400,-0.75358300
7.83722000,-0.94525400,-0.49968900,1.11563000,-1.51313000,0.62450700,-0.75320200
7.88204000,-0.94525400,-0.49968900,1.11563000,-1.51313000,0.62450700,-0.75320200
7.91204000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
7.95541000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
7.98541000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.02796000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.05796000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.10107000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.13107000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.17256000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.20256000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.28557000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.31557000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.35756000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.38756000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.43060000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.46060000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.50265000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.53265000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.57454000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.60454000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.64774000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.67774000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.71976000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.74976000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.79215000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.82215000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.86529000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.90854000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.93854000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
8.98110000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.01110000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.05386000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.08386000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.12572000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.15572000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.19770000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.22770000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.27006000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.30006000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.34168000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.37168000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
9.41371000,-0.94525400,-0.49972600,1.11559000,-1.51326000,0.62450800,-0.75307700
